Employee_ID,Candidate_ID,Hire_Date,Department,Role,Base_Salary,Manager_ID,Manager_Effect,Is_Bad_Manager,Is_Biased_Manager,Gender,Ethnicity,Age_Band,Education_Level,Skill_Score,Culture_Score,Potential_Score,LQI
EMP_000001,CAND_000004,2018-01-01,Sales,Account_Executive,118000,MGR_0152,-0.0369,False,False,Female,Other,31_40,High_School,78.1,77.7,59.7,72.46
EMP_000002,CAND_000005,2018-01-01,Product,CPO,134000,MGR_0006,-0.0079,False,False,Female,Hispanic_Latino,22_30,High_School,63.2,70.5,48.5,60.98
EMP_000003,CAND_000006,2018-01-01,Marketing,Content_Strategist,104000,MGR_0343,-0.0537,False,True,Female,White,22_30,Bachelors,68.7,73.9,72.7,71.46
EMP_000004,CAND_000007,2018-01-01,Product,Principal_PM,127000,MGR_0316,-0.14,True,False,Non_Binary,White,41_50,Masters,52.5,50.1,48.2,50.49
EMP_000005,CAND_000008,2018-01-01,Operations,Operations_Manager,94000,MGR_0373,-0.1075,True,False,Male,Hispanic_Latino,31_40,Bachelors,68.7,80.1,61.2,69.87
EMP_000006,CAND_000009,2018-01-01,Engineering,Principal_Engineer,146000,MGR_0159,-0.0996,False,False,Female,Asian,22_30,Bachelors,75.3,60.6,62.1,66.93
EMP_000007,CAND_000010,2018-01-01,HR,Comp_Analyst,83000,MGR_0291,-0.0229,False,False,Female,White,41_50,PhD,61.6,59.9,48.6,57.19
EMP_000008,CAND_000012,2018-01-02,Engineering,Staff_Engineer,147000,MGR_0101,-0.1391,False,False,Female,Asian,31_40,Bachelors,80.8,74.3,58.4,72.13
EMP_000009,CAND_000013,2018-01-02,Operations,Process_Engineer,90000,MGR_0273,0.0005,False,False,Male,White,22_30,Masters,64.1,53.3,68.7,62.24
EMP_000010,CAND_000014,2018-01-02,Operations,Operations_Manager,85000,MGR_0264,-0.0713,False,False,Male,White,41_50,Masters,57.4,60.1,42.6,53.77
EMP_000011,CAND_000015,2018-01-02,Sales,Enterprise_AE,112000,MGR_0275,-0.1414,True,False,Female,White,31_40,PhD,73.6,69.5,64.6,69.67
EMP_000012,CAND_000016,2018-01-02,Sales,Sales_Manager,103000,MGR_0340,0.0834,False,False,Male,White,22_30,Bachelors,60.6,66.4,49.3,58.95
EMP_000013,CAND_000017,2018-01-02,Legal,IP_Attorney,142000,MGR_0350,-0.0791,False,False,Male,Asian,41_50,Masters,57.8,53.1,47.3,53.24
EMP_000014,CAND_000018,2018-01-02,Marketing,Content_Strategist,90000,MGR_0326,-0.0118,False,False,Female,White,22_30,Bachelors,59.7,38.4,59.5,53.25
EMP_000015,CAND_000019,2018-01-02,Finance,Senior_FA,117000,MGR_0005,-0.105,True,False,Male,White,22_30,Bachelors,71.6,58.8,69.0,66.98
EMP_000016,CAND_000021,2018-01-02,Sales,Account_Executive,128000,MGR_0371,0.1259,False,False,Female,White,31_40,Bachelors,89.2,74.7,80.2,82.15
EMP_000017,CAND_000023,2018-01-02,Marketing,CMO,104000,MGR_0151,0.0391,False,False,Female,Asian,31_40,High_School,76.7,58.3,59.8,66.11
EMP_000018,CAND_000024,2018-01-02,Sales,Account_Executive,108000,MGR_0023,0.0861,False,False,Male,White,31_40,Bachelors,64.6,49.9,73.8,62.95
EMP_000019,CAND_000025,2018-01-03,Sales,Sales_Manager,118000,MGR_0080,0.0227,False,False,Male,White,22_30,Bachelors,76.2,75.0,66.3,72.87
EMP_000020,CAND_000026,2018-01-03,Engineering,Senior_Engineer,137000,MGR_0360,-0.0083,False,False,Male,Black_African_American,51_Plus,Masters,58.5,48.0,50.5,52.95
EMP_000021,CAND_000027,2018-01-03,Operations,SC_Analyst,83000,MGR_0002,-0.1454,True,False,Male,White,41_50,Masters,60.9,49.6,48.9,53.91
EMP_000022,CAND_000028,2018-01-03,HR,CHRO,88000,MGR_0027,0.0046,False,False,Female,White,22_30,Masters,72.4,63.8,70.6,69.28
EMP_000023,CAND_000029,2018-01-03,HR,CHRO,95000,MGR_0180,-0.0908,True,False,Female,Asian,22_30,Bachelors,75.9,78.4,73.5,75.93
EMP_000024,CAND_000031,2018-01-04,Finance,Controller,112000,MGR_0134,-0.1232,True,False,Male,White,22_30,Masters,53.9,52.1,52.5,52.94
EMP_000025,CAND_000032,2018-01-04,Product,Principal_PM,137000,MGR_0066,-0.0825,False,True,Male,Hispanic_Latino,51_Plus,Bachelors,62.5,44.7,76.4,61.33
EMP_000026,CAND_000033,2018-01-04,Sales,VP_Sales,123000,MGR_0056,0.0327,False,False,Male,White,31_40,Masters,88.3,63.8,77.7,77.77
EMP_000027,CAND_000034,2018-01-04,Engineering,Staff_Engineer,148000,MGR_0134,-0.1232,True,False,Female,White,41_50,Bachelors,86.6,64.9,63.8,73.25
EMP_000028,CAND_000035,2018-01-04,HR,CHRO,85000,MGR_0011,-0.0178,False,False,Female,White,22_30,High_School,61.0,72.2,64.2,65.32
EMP_000029,CAND_000036,2018-01-04,Engineering,Staff_Engineer,144000,MGR_0244,0.0313,False,False,Male,White,51_Plus,Bachelors,68.8,52.7,67.6,63.61
EMP_000030,CAND_000037,2018-01-04,Engineering,Staff_Engineer,129000,MGR_0225,0.0198,False,False,Male,White,41_50,Bachelors,62.8,32.7,53.7,51.04
EMP_000031,CAND_000038,2018-01-04,Sales,SDR,106000,MGR_0304,0.0252,False,False,Male,White,22_30,Bachelors,54.6,52.5,66.7,57.6
EMP_000032,CAND_000039,2018-01-04,Engineering,Staff_Engineer,142000,MGR_0114,-0.1329,True,False,Female,White,31_40,Bachelors,67.4,53.6,58.5,60.59
EMP_000033,CAND_000040,2018-01-04,Finance,Senior_FA,117000,MGR_0273,0.0005,False,False,Female,White,41_50,High_School,57.6,76.4,50.8,61.2
EMP_000034,CAND_000041,2018-01-04,Marketing,Growth_Manager,105000,MGR_0179,-0.0901,False,False,Female,Hispanic_Latino,31_40,Masters,79.2,72.8,68.8,74.16
EMP_000035,CAND_000044,2018-01-05,Marketing,CMO,105000,MGR_0285,-0.0209,False,True,Female,Other,41_50,Bachelors,69.5,67.2,80.0,71.96
EMP_000036,CAND_000046,2018-01-05,Engineering,Software_Engineer,158000,MGR_0386,-0.0467,False,False,Male,White,22_30,PhD,82.6,73.6,64.3,74.41
EMP_000037,CAND_000048,2018-01-05,Operations,Process_Engineer,97000,MGR_0146,-0.0035,False,False,Male,White,22_30,Bachelors,87.1,48.6,80.2,73.48
EMP_000038,CAND_000049,2018-01-05,Sales,Enterprise_AE,112000,MGR_0340,0.0834,False,False,Female,Hispanic_Latino,31_40,Masters,73.1,65.1,74.2,71.03
EMP_000039,CAND_000050,2018-01-06,Product,CPO,139000,MGR_0184,0.0052,False,True,Female,Other,31_40,Masters,64.2,72.4,53.3,63.39
EMP_000040,CAND_000051,2018-01-06,Product,Principal_PM,136000,MGR_0306,-0.0996,False,False,Male,Asian,31_40,Masters,59.8,52.5,75.4,62.29
EMP_000041,CAND_000052,2018-01-06,Product,CPO,140000,MGR_0094,0.0028,False,True,Male,White,31_40,Bachelors,83.0,63.3,54.0,68.39
EMP_000042,CAND_000053,2018-01-06,Finance,Senior_FA,115000,MGR_0082,0.0805,False,False,Female,Hispanic_Latino,41_50,Bachelors,56.6,69.1,54.2,59.63
EMP_000043,CAND_000054,2018-01-06,Engineering,Staff_Engineer,148000,MGR_0098,-0.1438,True,False,Female,White,31_40,Masters,79.1,63.6,82.4,75.44
EMP_000044,CAND_000057,2018-01-06,HR,Recruiter,83000,MGR_0238,-0.0011,False,False,Female,White,31_40,Bachelors,62.9,61.8,64.1,62.93
EMP_000045,CAND_000059,2018-01-07,Sales,VP_Sales,124000,MGR_0196,0.0069,False,False,Female,White,51_Plus,Masters,91.3,74.4,64.0,78.04
EMP_000046,CAND_000060,2018-01-07,Sales,VP_Sales,104000,MGR_0092,0.0264,False,False,Male,Black_African_American,31_40,Masters,65.2,56.8,54.9,59.59
EMP_000047,CAND_000063,2018-01-07,Product,Product_Manager,132000,MGR_0065,-0.126,False,False,Male,White,22_30,Bachelors,58.0,46.5,70.2,58.21
EMP_000048,CAND_000065,2018-01-07,Marketing,Growth_Manager,103000,MGR_0028,-0.0617,False,True,Male,Black_African_American,22_30,Masters,57.8,80.1,61.8,65.69
EMP_000049,CAND_000066,2018-01-07,Finance,Financial_Analyst,120000,MGR_0349,0.0157,False,False,Male,Black_African_American,31_40,Bachelors,71.9,76.7,68.4,72.29
EMP_000050,CAND_000067,2018-01-07,Product,Principal_PM,132000,MGR_0283,0.0734,False,False,Male,Other,22_30,Masters,67.8,58.1,56.9,61.62
EMP_000051,CAND_000069,2018-01-07,Product,Dir_Product,149000,MGR_0014,0.0821,False,False,Female,White,31_40,High_School,86.5,82.5,89.4,86.17
EMP_000052,CAND_000070,2018-01-07,Operations,Process_Engineer,102000,MGR_0030,-0.0072,False,False,Female,Asian,31_40,Bachelors,81.8,64.5,80.1,76.1
EMP_000053,CAND_000072,2018-01-08,Operations,Process_Engineer,96000,MGR_0373,-0.1075,True,False,Female,Asian,31_40,Masters,79.0,61.1,59.9,67.9
EMP_000054,CAND_000073,2018-01-08,Operations,Ops_Director,83000,MGR_0100,0.118,False,False,Male,White,41_50,High_School,52.3,68.0,45.1,54.85
EMP_000055,CAND_000074,2018-01-08,Marketing,Growth_Manager,109000,MGR_0247,-0.0246,False,True,Male,Black_African_American,22_30,Masters,76.4,65.1,66.6,70.07
EMP_000056,CAND_000075,2018-01-08,Sales,VP_Sales,107000,MGR_0262,-0.1216,True,False,Female,White,31_40,Bachelors,67.0,46.9,60.9,59.14
EMP_000057,CAND_000076,2018-01-08,Marketing,Growth_Manager,98000,MGR_0237,-0.007,False,False,Female,Asian,22_30,PhD,65.4,81.9,30.8,59.97
EMP_000058,CAND_000077,2018-01-08,Engineering,Principal_Engineer,146000,MGR_0297,0.0331,False,False,Male,Black_African_American,51_Plus,Masters,67.7,67.5,79.1,71.06
EMP_000059,CAND_000078,2018-01-08,Finance,Financial_Analyst,122000,MGR_0181,-0.0252,False,False,Female,Asian,41_50,Masters,79.4,68.7,56.7,69.38
EMP_000060,CAND_000079,2018-01-08,Sales,Sales_Manager,111000,MGR_0383,0.0449,False,False,Non_Binary,White,51_Plus,Masters,62.9,63.0,83.5,69.11
EMP_000061,CAND_000080,2018-01-08,HR,HR_Business_Partner,89000,MGR_0174,0.0372,False,True,Non_Binary,White,22_30,Bachelors,67.4,51.3,68.8,62.99
EMP_000062,CAND_000081,2018-01-09,Sales,Account_Executive,116000,MGR_0397,-0.1143,True,False,Male,White,41_50,Bachelors,65.4,70.0,80.1,71.19
EMP_000063,CAND_000082,2018-01-09,Operations,SC_Analyst,101000,MGR_0209,0.0959,False,False,Male,White,41_50,Bachelors,68.4,98.9,73.2,78.99
EMP_000064,CAND_000083,2018-01-09,Finance,Senior_FA,125000,MGR_0194,0.0029,False,False,Male,White,22_30,High_School,91.8,88.4,45.1,76.77
EMP_000065,CAND_000084,2018-01-09,Operations,SC_Analyst,99000,MGR_0097,0.0081,False,False,Female,Other,31_40,Masters,83.8,68.7,72.8,75.97
EMP_000066,CAND_000088,2018-01-09,Finance,CFO,115000,MGR_0184,0.0052,False,True,Male,White,22_30,Bachelors,64.1,65.7,63.5,64.4
EMP_000067,CAND_000089,2018-01-09,Marketing,CMO,97000,MGR_0051,0.048,False,True,Female,White,41_50,Bachelors,56.3,65.2,45.8,55.82
EMP_000068,CAND_000090,2018-01-09,Operations,Process_Engineer,88000,MGR_0095,0.0263,False,False,Female,White,22_30,Masters,60.2,56.7,53.2,57.05
