Employee_ID,Employment_Status,Hire_Date,Termination_Date,Total_Tenure_Months,Comp_vs_Market,Final_Salary,Avg_KPI_Career,Promotion_Count,Last_Promotion_Date,Exit_Reason,Attrition_Risk_Score
EMP_000001,Terminated,2018-01-01,2021-03-02,38,-0.0411,119000,0.7242,0,,Voluntary_Personal,49.6
EMP_000002,Terminated,2018-01-01,2019-01-31,13,-0.1323,138000,0.6864,0,,Involuntary_Restructure,54.9
EMP_000003,Terminated,2018-01-01,2023-01-31,61,0.0696,126000,0.6756,0,,Voluntary_Personal,51.9
EMP_000004,Terminated,2018-01-01,2018-07-02,6,-0.1148,141000,0.4287,0,,Voluntary_Low_Engagement,71.8
EMP_000005,Terminated,2018-01-01,2020-09-01,32,0.1071,116000,0.6556,0,,Voluntary_Low_Engagement,53.4
EMP_000006,Terminated,2018-01-01,2020-02-01,25,0.0063,170000,0.613,0,,Voluntary_Low_Engagement,60.0
EMP_000007,Terminated,2018-01-01,2022-03-03,50,-0.0406,98000,0.6139,0,,Voluntary_Better_Offer,60.3
EMP_000008,Terminated,2018-01-02,2021-11-02,46,0.1097,187000,0.6401,0,,Voluntary_Low_Engagement,55.8
EMP_000009,Terminated,2018-01-02,2021-01-01,36,-0.0839,96000,0.6925,0,,Voluntary_Better_Offer,59.1
EMP_000010,Terminated,2018-01-02,2019-09-02,20,0.0648,112000,0.5802,0,,Voluntary_Low_Engagement,64.0
EMP_000011,Terminated,2018-01-02,2020-04-02,27,-0.0911,113000,0.5799,0,,Voluntary_Low_Engagement,58.4
EMP_000012,Terminated,2018-01-02,2021-05-03,40,-0.1572,105000,0.7565,0,,Voluntary_Personal,52.3
EMP_000013,Terminated,2018-01-02,2018-07-03,6,-0.2301,142000,0.6145,0,,Voluntary_Low_Engagement,66.7
EMP_000014,Terminated,2018-01-02,2018-10-02,9,-0.0561,111000,0.5898,0,,Voluntary_Better_Offer,67.8
EMP_000015,Terminated,2018-01-02,2018-07-03,6,0.0957,150000,0.5494,0,,Voluntary_Low_Engagement,60.8
EMP_000016,Terminated,2018-01-02,2019-09-02,20,0.314,163000,0.9096,0,,Voluntary_Personal,38.4
EMP_000017,Terminated,2018-01-02,2024-09-02,80,0.1394,134000,0.7643,0,,Voluntary_Better_Offer,54.1
EMP_000018,Terminated,2018-01-02,2019-05-04,16,0.0492,130000,0.823,0,,Voluntary_Better_Offer,55.5
EMP_000019,Terminated,2018-01-03,2020-01-03,24,0.1528,143000,0.7564,0,,Voluntary_Personal,47.2
EMP_000020,Terminated,2018-01-03,2019-01-03,12,-0.1467,144000,0.5856,0,,Involuntary_Restructure,64.8
EMP_000021,Terminated,2018-01-03,2020-05-04,28,0.0259,108000,0.5162,0,,Voluntary_Low_Engagement,70.8
EMP_000022,Terminated,2018-01-03,2019-09-03,20,-0.0226,99000,0.7098,0,,Voluntary_Better_Offer,52.9
EMP_000023,Terminated,2018-01-03,2018-07-04,6,0.0699,109000,0.7008,0,,Voluntary_Low_Engagement,50.6
EMP_000024,Terminated,2018-01-04,2019-01-04,12,0.0458,143000,0.5535,0,,Voluntary_Low_Engagement,69.4
EMP_000025,Terminated,2018-01-04,2019-08-05,19,0.0682,170000,0.5806,0,,Voluntary_Low_Engagement,66.2
EMP_000026,Terminated,2018-01-04,2022-12-04,59,0.0469,168000,0.8181,2,2021-12-04,Voluntary_Better_Offer,48.1
EMP_000027,Terminated,2018-01-04,2018-07-05,6,0.0831,183000,0.6428,0,,Voluntary_Low_Engagement,57.4
EMP_000028,Terminated,2018-01-04,2022-01-04,48,-0.0972,92000,0.6998,0,,Voluntary_Personal,53.1
EMP_000029,Terminated,2018-01-04,2020-06-04,29,0.0819,182000,0.718,0,,Voluntary_Better_Offer,57.2
EMP_000030,Terminated,2018-01-04,2020-06-04,29,-0.1668,140000,0.5935,0,,Voluntary_Low_Engagement,68.8
EMP_000031,Terminated,2018-01-04,2020-10-04,33,0.0501,130000,0.6773,0,,Voluntary_Personal,60.0
EMP_000032,Terminated,2018-01-04,2018-07-05,6,-0.0361,162000,0.5829,0,,Voluntary_Low_Engagement,66.3
EMP_000033,Terminated,2018-01-04,2020-09-04,32,0.0527,144000,0.7061,0,,Voluntary_Better_Offer,52.6
EMP_000034,Terminated,2018-01-04,2019-12-05,23,-0.0284,114000,0.6976,0,,Involuntary_Restructure,53.0
EMP_000035,Terminated,2018-01-05,2020-10-05,33,0.0231,120000,0.7422,0,,Voluntary_Personal,52.1
EMP_000036,Active,2018-01-05,,83,0.1745,198000,0.7139,0,,Still Active,50.5
EMP_000037,Terminated,2018-01-05,2020-03-06,26,0.0086,106000,0.7665,0,,Voluntary_Better_Offer,56.2
EMP_000038,Terminated,2018-01-05,2020-04-05,27,0.1285,140000,0.8248,0,,Involuntary_Restructure,47.9
EMP_000039,Active,2018-01-06,,83,0.1371,181000,0.6992,0,,Still Active,52.7
EMP_000040,Terminated,2018-01-06,2018-12-06,11,-0.075,147000,0.5342,0,,Voluntary_Low_Engagement,64.3
EMP_000041,Terminated,2018-01-06,2019-12-07,23,0.1228,178000,0.7031,0,,Voluntary_Better_Offer,53.5
EMP_000042,Terminated,2018-01-06,2023-11-06,70,0.0289,141000,0.7676,0,,Voluntary_Better_Offer,51.4
EMP_000043,Terminated,2018-01-06,2024-09-06,80,0.0712,181000,0.624,0,,Voluntary_Low_Engagement,57.9
EMP_000044,Terminated,2018-01-06,2019-03-08,14,-0.1487,87000,0.65,0,,Voluntary_Personal,56.3
EMP_000045,Terminated,2018-01-07,2020-06-07,29,0.2097,150000,0.7742,0,,Voluntary_Better_Offer,46.1
EMP_000046,Terminated,2018-01-07,2019-08-08,19,-0.0723,115000,0.7168,0,,Voluntary_Better_Offer,57.8
EMP_000047,Terminated,2018-01-07,2018-10-07,9,-0.0363,153000,0.5443,0,,Voluntary_Low_Engagement,69.1
EMP_000048,Terminated,2018-01-07,2020-04-07,27,-0.0424,113000,0.6356,0,,Voluntary_Low_Engagement,52.8
EMP_000049,Terminated,2018-01-07,2020-04-07,27,-0.088,125000,0.7378,0,,Voluntary_Better_Offer,47.3
EMP_000050,Terminated,2018-01-07,2020-06-07,29,-0.1632,133000,0.7779,0,,Voluntary_Personal,54.3
EMP_000051,Terminated,2018-01-07,2018-12-07,11,0.1556,184000,0.9109,0,,Voluntary_Better_Offer,36.7
EMP_000052,Terminated,2018-01-07,2020-02-07,25,0.2614,132000,0.7276,0,,Voluntary_Better_Offer,50.6
EMP_000053,Terminated,2018-01-08,2019-12-09,23,0.0989,115000,0.5985,0,,Voluntary_Low_Engagement,59.9
EMP_000054,Terminated,2018-01-08,2021-05-09,40,-0.1858,85000,0.8113,0,,Voluntary_Better_Offer,51.8
EMP_000055,Terminated,2018-01-08,2020-05-09,28,0.0027,118000,0.6432,0,,Voluntary_Better_Offer,53.7
EMP_000056,Terminated,2018-01-08,2018-07-09,6,-0.1204,109000,0.5029,0,,Voluntary_Low_Engagement,68.4
EMP_000057,Terminated,2018-01-08,2019-07-09,18,-0.1235,103000,0.6527,0,,Voluntary_Better_Offer,51.8
EMP_000058,Terminated,2018-01-08,2019-06-09,17,0.106,186000,0.7205,0,,Voluntary_Personal,49.7
EMP_000059,Terminated,2018-01-08,2023-01-08,60,0.0049,137000,0.7083,0,,Voluntary_Better_Offer,52.9
EMP_000060,Terminated,2018-01-08,2021-10-08,45,-0.091,113000,0.7748,0,,Voluntary_Personal,51.2
EMP_000061,Terminated,2018-01-08,2019-01-08,12,-0.0951,92000,0.7415,0,,Voluntary_Better_Offer,57.6
EMP_000062,Terminated,2018-01-09,2021-02-08,37,0.1745,146000,0.6168,0,,Voluntary_Low_Engagement,56.2
EMP_000063,Terminated,2018-01-09,2019-05-11,16,0.2053,126000,0.9323,0,,Voluntary_Personal,33.9
EMP_000064,Terminated,2018-01-09,2019-01-09,12,0.0575,145000,0.7284,0,,Involuntary_Restructure,42.6
EMP_000065,Terminated,2018-01-09,2022-10-10,57,0.1346,119000,0.765,0,,Voluntary_Personal,48.6
EMP_000066,Terminated,2018-01-09,2020-08-09,31,0.0861,148000,0.7326,0,,Voluntary_Personal,54.3
EMP_000067,Terminated,2018-01-09,2018-08-10,7,-0.1037,105000,0.7594,0,,Voluntary_Personal,55.7
EMP_000068,Terminated,2018-01-09,2020-02-09,25,0.0961,115000,0.672,0,,Voluntary_Better_Offer,58.9
EMP_000069,Terminated,2018-01-09,2020-05-10,28,0.2127,150000,0.6648,0,,Voluntary_Better_Offer,53.0
EMP_000070,Terminated,2018-01-10,2019-09-10,20,-0.0238,102000,0.7244,0,,Voluntary_Better_Offer,53.6
EMP_000071,Terminated,2018-01-10,2019-08-11,19,0.1188,114000,0.5787,0,,Voluntary_Low_Engagement,58.4
EMP_000072,Terminated,2018-01-10,2018-07-11,6,0.0066,160000,0.6678,0,,Voluntary_Low_Engagement,59.2
EMP_000073,Active,2018-01-10,,83,-0.1448,106000,0.7745,0,,Still Active,48.9
EMP_000074,Terminated,2018-01-10,2019-09-10,20,-0.0511,118000,0.7556,0,,Voluntary_Personal,55.9
EMP_000075,Terminated,2018-01-10,2021-12-10,47,0.1392,192000,0.854,0,,Involuntary_Restructure,52.7
EMP_000076,Terminated,2018-01-10,2022-02-09,49,-0.1068,105000,0.5835,0,,Voluntary_Low_Engagement,61.7
EMP_000077,Terminated,2018-01-11,2023-02-10,61,0.0591,195000,0.761,0,,Voluntary_Personal,47.9
EMP_000078,Terminated,2018-01-11,2020-11-10,34,-0.2222,124000,0.7835,0,,Voluntary_Low_Engagement,60.7
EMP_000079,Terminated,2018-01-11,2022-10-12,57,-0.0083,117000,0.799,0,,Voluntary_Better_Offer,48.7
EMP_000080,Terminated,2018-01-11,2020-04-11,27,-0.1407,158000,0.6771,0,,Voluntary_Personal,58.8
EMP_000081,Terminated,2018-01-11,2022-11-11,58,0.1459,142000,0.7302,0,,Voluntary_Better_Offer,48.7
EMP_000082,Terminated,2018-01-11,2018-07-12,6,-0.0987,95000,0.6894,0,,Voluntary_Personal,49.4
EMP_000083,Terminated,2018-01-11,2022-02-10,49,-0.0372,101000,0.78,0,,Voluntary_Personal,52.5
EMP_000084,Terminated,2018-01-11,2023-07-13,66,0.2299,172000,0.8183,2,2022-07-12,Voluntary_Better_Offer,42.7
EMP_000085,Terminated,2018-01-11,2020-12-11,35,0.0567,178000,0.718,0,,Voluntary_Personal,42.4
EMP_000086,Terminated,2018-01-11,2022-01-11,48,-0.1928,136000,0.7115,0,,Voluntary_Personal,62.3
EMP_000087,Terminated,2018-01-11,2020-07-12,30,0.0049,118000,0.6489,0,,Voluntary_Personal,62.8
EMP_000088,Active,2018-01-11,,83,0.0141,126000,0.796,0,,Still Active,50.9
EMP_000089,Terminated,2018-01-12,2019-10-13,21,0.0865,173000,0.5775,0,,Voluntary_Low_Engagement,55.3
EMP_000090,Terminated,2018-01-12,2021-06-13,41,-0.0423,161000,0.7151,0,,Voluntary_Better_Offer,53.5
EMP_000091,Terminated,2018-01-12,2020-02-12,25,-0.1937,85000,0.6641,0,,Voluntary_Better_Offer,61.4
EMP_000092,Terminated,2018-01-12,2022-05-13,52,0.0876,158000,0.8659,2,2021-05-13,Voluntary_Better_Offer,43.1
EMP_000093,Terminated,2018-01-12,2022-01-12,48,-0.1238,148000,0.6909,0,,Voluntary_Better_Offer,59.9
EMP_000094,Terminated,2018-01-12,2020-05-13,28,0.3182,188000,0.8153,1,2019-05-14,Voluntary_Personal,37.7
EMP_000095,Terminated,2018-01-12,2018-07-13,6,-0.0508,130000,0.5016,0,,Voluntary_Better_Offer,61.3
EMP_000096,Terminated,2018-01-12,2019-02-11,13,0.0867,135000,0.7343,0,,Voluntary_Better_Offer,51.1
EMP_000097,Terminated,2018-01-12,2019-01-12,12,0.0853,148000,0.6349,0,,Voluntary_Low_Engagement,60.9
EMP_000098,Terminated,2018-01-13,2020-10-13,33,0.2171,197000,0.8845,1,2019-10-14,Voluntary_Better_Offer,40.0
EMP_000099,Terminated,2018-01-13,2023-12-14,71,0.2753,150000,0.6326,0,,Voluntary_Low_Engagement,51.7
EMP_000100,Terminated,2018-01-13,2019-07-14,18,-0.0998,123000,0.7499,0,,Voluntary_Personal,51.8
EMP_000101,Terminated,2018-01-13,2022-03-15,50,-0.1467,89000,0.6808,0,,Voluntary_Personal,60.1
EMP_000102,Active,2018-01-13,,83,0.1424,219000,0.8662,2,2023-12-14,Still Active,45.2
EMP_000103,Terminated,2018-01-13,2019-02-12,13,-0.0108,135000,0.7528,0,,Voluntary_Better_Offer,59.6
EMP_000104,Terminated,2018-01-13,2019-06-14,17,0.0104,170000,0.6549,0,,Voluntary_Better_Offer,54.5
EMP_000105,Terminated,2018-01-13,2020-09-13,32,0.0857,135000,0.8812,0,,Voluntary_Personal,43.9
EMP_000106,Terminated,2018-01-13,2019-10-14,21,0.0483,193000,0.5569,0,,Voluntary_Low_Engagement,66.1
EMP_000107,Terminated,2018-01-13,2018-07-14,6,-0.0673,116000,0.4884,0,,Voluntary_Low_Engagement,65.3
EMP_000108,Terminated,2018-01-13,2020-05-14,28,-0.1144,149000,0.6746,0,,Voluntary_Personal,50.5
EMP_000109,Terminated,2018-01-13,2020-08-13,31,-0.0421,161000,0.7124,0,,Voluntary_Personal,53.1
EMP_000110,Terminated,2018-01-14,2020-05-15,28,0.1042,137000,0.6638,0,,Voluntary_Better_Offer,56.2
EMP_000111,Terminated,2018-01-14,2018-11-14,10,-0.0731,115000,0.4127,0,,Involuntary_Performance,76.6
EMP_000112,Terminated,2018-01-14,2020-05-15,28,0.1091,187000,0.7224,0,,Voluntary_Personal,52.3
EMP_000113,Terminated,2018-01-14,2021-01-13,36,0.0391,191000,0.6828,0,,Voluntary_Low_Engagement,51.7
EMP_000114,Terminated,2018-01-14,2018-12-14,11,-0.1277,139000,0.7201,0,,Voluntary_Personal,51.6
EMP_000115,Terminated,2018-01-14,2021-12-14,47,-0.1161,149000,0.8,0,,Voluntary_Better_Offer,48.3
EMP_000116,Terminated,2018-01-14,2019-06-15,17,-0.0043,136000,0.7914,0,,Voluntary_Better_Offer,51.7
EMP_000117,Terminated,2018-01-14,2022-03-16,50,0.1359,209000,0.7342,0,,Voluntary_Low_Engagement,51.8
EMP_000118,Terminated,2018-01-15,2020-10-15,33,0.2235,145000,0.8328,1,2019-10-16,Voluntary_Better_Offer,38.9
EMP_000119,Terminated,2018-01-15,2019-08-16,19,0.068,180000,0.8262,0,,Voluntary_Personal,56.1
EMP_000120,Terminated,2018-01-15,2019-01-15,12,0.2414,146000,0.82,0,,Involuntary_Restructure,43.4
EMP_000121,Terminated,2018-01-15,2019-09-15,20,-0.0333,98000,0.6086,0,,Voluntary_Low_Engagement,58.6
EMP_000122,Terminated,2018-01-15,2021-07-16,42,-0.2076,126000,0.5911,0,,Involuntary_Performance,69.3
EMP_000123,Terminated,2018-01-15,2018-12-15,11,-0.0917,95000,0.5131,0,,Voluntary_Low_Engagement,55.4
EMP_000124,Terminated,2018-01-15,2019-01-15,12,0.0391,106000,0.7427,0,,Voluntary_Personal,49.5
EMP_000125,Terminated,2018-01-15,2018-09-15,8,0.1811,146000,0.8208,0,,Voluntary_Personal,38.6
